	Response ID	Date submitted	Last page	Start language	Seed	Date started	Date last action	IP address	What is the domain of the website?	Is the website accessible from the current region?	Does the website show a consent notice?	In what language has the website been written?	In what language has the website been written? [Other]	Does the consent notice present... [...an 'accept all' option?]	Does the consent notice present... [...a 'reject all' option?]	Does the consent notice present... [conditional terms (may, might, or could)?]	Does the consent notice present... [a visibly highlighted link to the privacy/cookie policy?]	Are the 'accept all' and 'reject all' options... [...displayed using the same type of form element?]	Are the 'accept all' and 'reject all' options... [...shown at the same level of the consent notice?]	Is a form element highlighted? If so, is it the one for the most restrictive option?	Is a form element highlighted? If so, is it the one for the most restrictive option? [Comment]	Please copy the text of the consent notice.	What is the font size (in pixels) of the text in the consent notice? 	Where is the following information provided? [the purposes for which cookies are being stored]	Where is the following information provided? [the expiration date of cookies]	Where is the following information provided? [the fact that information is shared with third parties/partners]	Where is the following information provided? [links to privacy policies of third parties]	Where is the following information provided? [the identity of the controller]	Where is the following information provided? [the legal basis for processing]	Does the cookie policy contain the cookies which are being stored by the website?	Does the cookie policy contain the cookies which are being stored by the website? [Comment]	Does the consent notice inform the user of their right to withdraw consent?	Does the consent notice inform the user of their right to withdraw consent? [Comment]	Can consent be given separately for each purpose?	Can consent be given separately for each purpose? [Comment]	Is consent combined with the terms of service?	Are any boxes in the consent notice pre-selected?	Is legitimate interest used as a legal basis for storing non-necessary cookies?	Are the numbers of clicks needed to accept &amp; reject consent equal?	Does the consent notice produce a visual effect when interacted with?	Does the consent notice produce a visual effect when interacted with? [Comment]	Is the site accessible without providing consent?	Is the site accessible without providing consent? [Comment]	Can consent be withdrawn through the same electronic interface?	Can consent be withdrawn through the same electronic interface? [Comment]	Do you want to mention anything else?	Total time	Group time: Website information	Question time: G1Q00001	Question time: G1Q00002	Question time: G1Q00003	Question time: G1Q00004	Group time: Consent notice - first level	Question time: G02Q29	Question time: G02Q28	Question time: G2Q00002	Question time: G2Q00005	Question time: G2Q00006	Group time: Consent notice &amp; legal documents – in-depth analysis	Question time: G03Q29	Question time: G3Q00006	Question time: G3Q00007	Question time: G3Q00009	Question time: G3Q00010	Question time: G3Q00012	Question time: G3Q00013	Group time: Acceptance/rejection of consent	Question time: G3Q00011	Question time: G3Q00014	Question time: G3Q00016	Group time: Withdrawal of consent	Question time: G3Q00015	Group time: Extra information	Question time: G3Q00017	Please copy the translated (English-language) text of the consent notice.
166	177	2024-04-07 13:36:48	1.0	en	1623103898.0	2024-04-07 13:29:24	2024-04-07 13:36:48	2a02:a459:1240:1:118b:282a:8c54:58af	amazon.co.uk	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	form element other than most restrictive highlighted		"We use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our Cookie notice. We also use these cookies to understand how customers use our services (for example, by measuring site visits) so we can make improvements.

If you agree, we'll also use cookies to complement your shopping experience across the Amazon stores as described in our Cookie notice. Your choice applies to using first-party and third-party advertising cookies on this service. Cookies store or access standard device information such as a unique identifier. The 103 third parties who use cookies on this service do so for their purposes of displaying and measuring personalized ads, generating audience insights, and developing and improving products. Click ""Decline"" to reject, or ""Customise"" to make more detailed advertising choices, or learn more. You can change your choices at any time by visiting Cookie preferences, as described in the Cookie notice. To learn more about how and for what purposes Amazon uses personal information (such as Amazon Store order history), please visit our Privacy notice."	14.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Advertising cookies are defined as: ""These cookies allow us to serve you other types of ads (for example, for products and services not available on Amazon), including ads relevant to your interests, and to work with approved third parties in the process of delivering content, to measure ad effectiveness, and to perform services on behalf of Amazon."""	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			444.88																												"We use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our Cookie notice. We also use these cookies to understand how customers use our services (for example, by measuring site visits) so we can make improvements.

If you agree, we'll also use cookies to complement your shopping experience across the Amazon stores as described in our Cookie notice. Your choice applies to using first-party and third-party advertising cookies on this service. Cookies store or access standard device information such as a unique identifier. The 103 third parties who use cookies on this service do so for their purposes of displaying and measuring personalized ads, generating audience insights, and developing and improving products. Click ""Decline"" to reject, or ""Customise"" to make more detailed advertising choices, or learn more. You can change your choices at any time by visiting Cookie preferences, as described in the Cookie notice. To learn more about how and for what purposes Amazon uses personal information (such as Amazon Store order history), please visit our Privacy notice."
167	178	2024-04-07 19:34:27	1.0	en	1560299681.0	2024-04-07 19:29:31	2024-04-07 19:34:27	2a02:a459:1240:1:118b:282a:8c54:58af	jutarnji.hr	Yes	Yes	Croatian		Yes	Yes	No	No	Yes	No	form element other than most restrictive highlighted		"Uz vaš pristanak, mi i naš 823 partneri koristimo kolačiće ili slične tehnologije za pohranu, pristup i obradu osobnih podataka kao što su Vaša posjeta ovoj web stranici, IP adrese i identifikatori kolačića. Neki partneri ne traže Vaš pristanak za obradu Vaših podataka i oslanjaju se na svoj legitimni poslovni interes. Možete povući svoj pristanak ili se usprotiviti obradi podataka na temelju legitimnog interesa u bilo kojem trenutku klikom na ""Saznajte više"" ili u našoj Pravilima o privatnosti na ovoj web stranici.

Mi i naši partneri obrađujemo podatke kako slijedi:
Aktivno skeniranje karakteristika uređaja za identifikaciju, Korištenje ograničenih podataka za odabir oglašavanja, Korištenje ograničenih podataka za odabir sadržaja, Korištenje preciznih geolokacijskih podataka, Korištenje profila za odabir personaliziranog oglašavanja, Korištenje profila za odabir personaliziranog sadržaja, Kreiranje profila za personaliziranje sadržaja, Kreiranje profila za personalizirano oglašavanje, Mjerenje performansi oglašavanja, Mjerenje performansi sadržaja, Pohrana i/ili pristup podacima na uređaju, Razumijevanje publike kroz statistiku ili kombinacije podataka iz različitih izvora, Razvoj i poboljšanje usluga"	15.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			296.42																												"With your consent, we and our 823 partners use cookies or similar technologies to store, access and process personal data such as your visit to this website, IP addresses and cookie identifiers. Some partners do not request your consent to process your data and rely on their legitimate business interests. You can withdraw your consent or object to data processing based on legitimate interests at any time by clicking on ""Learn More"" or in our Privacy Policy on this website. We and our partners process data as follows: Active Scanning Device Identification Features, Use of Limited Data for Advertising Selection, Use of Limited Data for Content Selection, Use of Accurate Geolocation Data on this website, Use of Profiles for Personalized Advertising Selection, Use of Profiles for Content Selection and Creation of Content Creation, Use of Content/Performance Improvement,"
168	179	2024-04-07 19:47:52	1.0	en	504906464.0	2024-04-07 19:34:33	2024-04-07 19:47:52	2a02:a459:1240:1:118b:282a:8c54:58af	bestbuy.ca	Yes	Not by default, but there is a consent notice	English		No	No	Yes	Yes			no form element highlighted		"When you visit any website, it may store or retrieve information on your device, mostly in the form of cookies. Cookies are vital to enhancing site performance and delivering helpful, personalized content. You can explore the different types of cookies below.

Since your privacy is important to us, you can choose to only enable some types of cookies. However, disabling them may impact your shopping experience and the services we offer."	14.0	consent notice	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	individual cookies mentioned		information is missing		at least one checkbox refers to multiple purposes	"Targeting cookies are defined as: ""These cookies track your online activity to help advertisers deliver more relevant advertising or to limit how many times you see an ad."""	Yes	Yes	No		visual effect occurs on-screen				consent can be withdrawn through the website		"The terms of service state: ""By accepting this Agreement, and each time you use the Website, you consent to the collection, use and disclosure of your personal information by Best Buy in accordance with the Privacy Policy as it then reads."" The privacy policy then states ""The Web Sites use ""cookies"", a tiny element of data that our Web Sites can send to your browser, which may then be stored on a Web Site user's computer to permit the Web Site to recognize future visits using that browser."""	798.59																												"When you visit any website, it may store or retrieve information on your device, mostly in the form of cookies. Cookies are vital to enhancing site performance and delivering helpful, personalized content. You can explore the different types of cookies below.

Since your privacy is important to us, you can choose to only enable some types of cookies. However, disabling them may impact your shopping experience and the services we offer."
169	180	2024-04-07 19:58:47	1.0	en	924830925.0	2024-04-07 19:47:59	2024-04-07 19:58:47	2a02:a459:1240:1:118b:282a:8c54:58af	ceneo.pl	Yes	Yes	Polish		Yes	Yes	No	Yes	Yes	Yes	form element other than most restrictive highlighted		"Dzięki plikom cookies i technologiom pokrewnym oraz przetwarzaniu Twoich danych osobowych w opisanych dalej celach, możemy zapewnić, że dopasujemy do Ciebie wyświetlane treści.
Wyrażając zgodę na przechowywanie informacji na urządzeniu końcowym lub dostęp do nich i przetwarzanie danych osobowych (w tym w obszarze profilowania, analiz rynkowych i statystycznych) sprawiasz, że łatwiej będzie odnaleźć Ci w Serwisie dokładnie to, czego szukasz i potrzebujesz. Administratorem Twoich danych osobowych będzie Ceneo.pl sp. z o.o., a w niektórych przypadkach (np. identyfikator internetowy, dane przeglądania) nasi partnerzy (128 partnerów), w tym tzw. “Zaufani Partnerzy IAB” (126 partnerów).

Twoja zgoda jest dobrowolna i obejmuje przetwarzanie danych osobowych w celach: prezentowania spersonalizowanych treści i reklam oraz ich pomiaru, tworzenia statystyk, poprawy funkcjonalności strony, ułatwienia korzystania z naszych stron.

Zgoda obejmuje także wyszczególnione cele (wg standardu i klasyfikacji IAB Europe) dla Zaufanych Partnerów IAB: 1) Przechowywanie informacji na urządzeniu lub dostęp do nich; 2) Wykorzystywanie ograniczonych danych do wyboru reklam; 3) Tworzenie profili w celu spersonalizowanych reklam; 4). Wykorzystanie profili do wyboru spersonalizowanych reklam; 5) Tworzenie profili w celu personalizacji treści; 6) Wykorzystywanie profili w celu doboru spersonalizowanych treści; 7) Pomiar efektywności reklam; 8) Pomiar efektywności treści; 9) Rozumienie odbiorców dzięki statystyce lub kombinacji danych z różnych źródeł; 10) Rozwój i ulepszanie usług; 11) Wykorzystywanie ograniczonych danych do wyboru treści, Cele specjalne: 12) Zapewnienie bezpieczeństwa, zapobieganie oszustwom i naprawianie błędów, 13) Dostarczanie i prezentowanie reklam i treści, Funkcje: 14) Dopasowanie i łączenie danych z innych źródeł, 15) Łączenie różnych urządzeń, 16) Identyfikacja urządzeń na podstawie informacji przesyłanych automatycznie, Funkcje specjalne: 17) Aktywne skanowanie charakterystyki urządzenia do celów identyfikacji. Szczegółowo opisane są one w ustawieniach dostępnych pod przyciskiem: Dostosuj zgody.

W każdej chwili możesz ją cofnąć zmieniając jej ustawienia (opcje dostosowania zgody przy jej wyrażeniu dostępne są także z poziomu polityki cookies). Cofnięcie zgody nie wpływa na legalność uprzedniego przetwarzania.

Więcej informacji - o wykorzystywaniu przez nas plików cookies, w tym o przysługujących Ci uprawnieniach z przetwarzania Twoich danych osobowych - w naszej polityce."	13.0	consent notice	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	individual cookies mentioned	Links to JSON files describing the cookies of each third party seem to be given; these are sufficiently descriptive (at least to me).	information is given on first level of notice		at least one checkbox refers to multiple purposes	"Quote from the consent notice: ""Functional cookies remember choices you make, providing you with better-tailored services. We can also use them to conduct surveys."""	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			648.51																												By combining its cookies to the purposes described in paragraph 15 of the publication policy, and by limiting the use of your personal data for the purposes described below, we can make it easier for you to find in the Service exactly what you are looking for and what you need. By consenting to the storage of your personal data on the terminal device or access to them, and in some cases (e.g. on the basis of web identification, browsing data) by our partners (128 partners), including the so-called “IAB Affiliates” (126 partners), your consent is voluntary and includes the processing of your personal data for the purposes of personalization and selection of cookies; you can also create personalized content and advertising standards based on the creation or use of data in the security settings (e.g. use of the advertising and other advertising services
170	181	2024-04-07 20:30:44	1.0	en	1239614162.0	2024-04-07 20:24:49	2024-04-07 20:30:44	2a02:a459:1240:1:118b:282a:8c54:58af	iltalehti.fi	Yes	Yes	Finnish		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted		"Alma Media kumppaneineen (69) käyttää evästeitä ja käsittelee niiden avulla kerättyjä henkilötietoja (esim. evästetunniste) seuraavin tarkoituksin ja erityisominaisuuksin:

Tietojen tallennus laitteelle ja/tai laitteella olevien tietojen käyttö

Personoitujen mainosten ja sisällön näyttäminen, mainonnan ja sisällön mittaus, käyttäjäymmärrys sekä tuotekehitys

Tarkat sijaintitiedot ja laitteen tunnistaminen laitetta skannaamalla

Alma Median kohderyhmien jakaminen

Hyväksymällä sallit tietojen käsittelyn kaikilla Alma Median sivustoilla. Valitsemalla ""Asetukset"" voit tehdä tarkempia valintoja suostumuksiin tai vastustaa oikeutettua etua. Voit aina muuttaa valintojasi, kuten peruuttaa suostumuksen, valitsemalla sivun alareunasta ""Evästeasetukset""."	16.0	consent notice	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	No	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			355.92																												"Alma Media and its partners (69) use cookies and process personal data collected by them (e.g. cookie ID) for the following purposes and specific features: Storage of data on the device and/or use of data on the device Displaying personalized advertising and content, measuring advertising and content, user understanding and product development Exact location information and device identification by scanning Alma Media's target groups sharing By consenting you allow the processing of data on all Alma Media's websites. By selecting ""Settings"" you can make more detailed choices about consent or object to a legitimate interest. You can always change your choices, such as withdraw consent, by selecting ""Cookie Settings"" at the bottom of the page."
171	182	2024-04-07 20:36:15	1.0	en	783399330.0	2024-04-07 20:31:16	2024-04-07 20:36:15	2a02:a459:1240:1:118b:282a:8c54:58af	nationalarchives.gov.uk	Yes	Yes	English		Yes	Yes	No	No	Yes	Yes	no form element highlighted		"We place some essential cookies on your device to make this website work.
We'd like to use additional cookies to remember your settings and understand how you use our services.
This information will help us make improvements to the website."	16.0	consent notice	consent notice	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			298.94																												"We place some essential cookies on your device to make this website work.
We'd like to use additional cookies to remember your settings and understand how you use our services.
This information will help us make improvements to the website."
172	183	2024-04-07 20:42:32	1.0	en	590571827.0	2024-04-07 20:37:28	2024-04-07 20:42:32	2a02:a459:1240:1:118b:282a:8c54:58af	bund.de	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"The Federal Portal is a central building block for the digitisation of Germany: Our goal is an easy online access to the administration for all citizens and businesses. To operate the Federal Portal we use technically necessary cookies and comparable technologies. You can help us make the site user-friendly by enabling web analytics and statistics cookies.

The statistics obtained from the user data are anonymous and give us the opportunity to understand user behavior and further improve the federal portal. Thank you for your support!

Information on Privacy Policy."	20.0	consent notice	privacy policy(or cookie policy)	nowhere	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			303.88																												"The Federal Portal is a central building block for the digitisation of Germany: Our goal is an easy online access to the administration for all citizens and businesses. To operate the Federal Portal we use technically necessary cookies and comparable technologies. You can help us make the site user-friendly by enabling web analytics and statistics cookies.

The statistics obtained from the user data are anonymous and give us the opportunity to understand user behavior and further improve the federal portal. Thank you for your support!

Information on Privacy Policy."
173	184	2024-04-07 20:48:20	1.0	en	1935973316.0	2024-04-07 20:42:48	2024-04-07 20:48:20	2a02:a459:1240:1:118b:282a:8c54:58af	oe24.at	Yes	Yes	German		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted		"Wir und unsere 656 Partner speichern und/ oder greifen auf Informationen auf einem Gerät zu, z.B. auf eindeutige Kennungen in Cookies, um personenbezogene Daten zu verarbeiten. Sie können Ihre Präferenzen akzeptieren oder verwalten, einschließlich Ihres Widerspruchsrechts bei berechtigtem Interesse. Klicken Sie dazu bitte unten oder besuchen Sie jederzeit die Seite der Datenschutzrichtlinie. Diese Präferenzen werden unseren Partnern signalisiert und haben keinen Einfluss auf Surfdaten.DatenschutzerklärungIndem Sie auf ""Akzeptieren"" klicken, willigen Sie ein, dass Cookies von uns und Drittanbietern verwendet werden dürfen. Sie willigen zugleich gemäß Art 49 Abs 1 lit a DSGVO ein, dass Ihre Daten in den USA verarbeitet werden. Der Europäische Gerichtshof bescheinigt den USA kein angemessenes Datenschutzniveau. Es besteht daher insbesondere das Risiko, dass Ihre Daten durch US-Behörden, zu Kontroll- und zu Überwachungszwecken, verarbeitet werden und dagegen keine wirksamen Rechtsbehelfe erhoben werden können. Zudem finden Sie am unteren Bildschirmrand ein Schildsymbol, mit dem Sie zu Ihren Cookie-Einstellungen zurückkehren und Ihre Einwilligung widerrufen und Widerspruch (Art 21 DSGVO) ausüben können.
Wir und unsere Partner verarbeiten Daten, um Folgendes bereitzustellen:
Verwendung genauer Standortdaten . Endgeräteeigenschaften zur Identifikation aktiv abfragen. Speichern von oder Zugriff auf Informationen auf einem Endgerät. Personalisierte Werbung und Inhalte, Messung von Werbeleistung und der Performance von Inhalten, Zielgruppenforschung sowie Entwicklung und Verbesserung von Angeboten."	11.382	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			332.23																												"We and our partners may store and/or access information on a device, such as unique identifiers in cookies to process personal data. You can accept or manage your preferences, including your right to object if you have a legitimate interest. Please click below or visit the page of the privacy policy at any time. These preferences are signaled to our partners and have no influence on browsing data.By clicking on ""Accept"" you agree that cookies may be used by us and third parties. You also agree in accordance with Art. 49 (1) a DSGVO that your data will be processed in the USA. The European Court of Justice does not declare that your U.S. standard data provider has an adequate level of identity. Therefore, in particular, there is a risk that your data may be processed by U.S. citizens, as well as by third parties, in order to actively"
174	185	2024-04-07 20:53:14	1.0	en	1862564833.0	2024-04-07 20:48:25	2024-04-07 20:53:14	2a02:a459:1240:1:118b:282a:8c54:58af	ft.com	Yes	Yes	English		Yes	Yes	Yes	Yes	Yes	No	form element other than most restrictive highlighted		"We and our 29 technology partners use cookies to store and process information from your devices for a number of reasons including; to keep FT Sites reliable and secure, personalising content and ads, providing social media features and to analyse how our Sites are used.

You can manage which cookies are set on your device, but if you disable cookies, some parts of the site may not work properly. You can withdraw your consent at any time by clicking Manage Cookies in the footer of our website.

The following descriptions outline how your data may be used by us or our partners, more information is also available in our cookie policy.

Store and/or access information on a device
Cookies, device or similar online identifiers (e.g. login-based identifiers, randomly assigned identifiers, network based identifiers) together with other information (e.g. browser type and information, language, screen size, supported technologies etc.) can be stored or read on your device to recognise it each time it connects to an app or to a website, for one or several of the purposes presented here.

Personalised advertising, advertising and content measurement, audience research and services development
Advertising can be personalised based on your profile.Your activity on this service can be used to build or improve a profile about you for personalised advertising. Advertising and content performance can be measured. Reports can be generated based on your activity and those of others. Your activity on this service can help develop and improve products and services."	16.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			288.65																												"We and our 29 technology partners use cookies to store and process information from your devices for a number of reasons including; to keep FT Sites reliable and secure, personalising content and ads, providing social media features and to analyse how our Sites are used.

You can manage which cookies are set on your device, but if you disable cookies, some parts of the site may not work properly. You can withdraw your consent at any time by clicking Manage Cookies in the footer of our website.

The following descriptions outline how your data may be used by us or our partners, more information is also available in our cookie policy.

Store and/or access information on a device
Cookies, device or similar online identifiers (e.g. login-based identifiers, randomly assigned identifiers, network based identifiers) together with other information (e.g. browser type and information, language, screen size, supported technologies etc.) can be stored or read on your device to recognise it each time it connects to an app or to a website, for one or several of the purposes presented here.

Personalised advertising, advertising and content measurement, audience research and services development
Advertising can be personalised based on your profile.Your activity on this service can be used to build or improve a profile about you for personalised advertising. Advertising and content performance can be measured. Reports can be generated based on your activity and those of others. Your activity on this service can help develop and improve products and services."
175	186	2024-04-07 21:04:08	1.0	en	1977476145.0	2024-04-07 20:53:57	2024-04-07 21:04:08	2a02:a459:1240:1:118b:282a:8c54:58af	gmx.at	Yes	Yes	German		Yes	Yes	No	Yes	Yes	Yes	form element other than most restrictive highlighted	The 'pay to reject' option is highlighted equally compared to the 'accept' option, but the 'ask me again later' option is not highlighted.	"Wir finanzieren uns über Werbung,
um Ihnen Produkte kostenfrei anbieten zu können.
Werbefreies Premium-Postfach
Nutzen Sie GMX.AT mit werbefreiem Premium-Postfach und ohne Werbetracking ab 3,99 €/Monat.*


Mit einem bestehenden ProMail- oder TopMail-Vertrag können Sie die Option ohne Werbetracking hier kostenlos dazubuchen.

Option ohne Werbetracking bereits gebucht? Hier anmelden.Noch keinen GMX.AT Account? Hier registrieren.

... oder weiter wie gewohnt
Nutzen Sie GMX.AT wie gewohnt mit Werbetracking. Ihre Zustimmung ist jederzeit widerrufbar.


Mit einem bestehenden ProMail- oder TopMail-Vertrag bleibt Ihr Postfach auch mit Zustimmung wie gewohnt werbefrei.

Details zu Werbe- und Analyse-Trackern sowie zum jederzeit möglichen Widerruf finden Sie in unserer Datenschutzerklärung oder im Privacy Center.

Für die Nutzung mit Werbung und Tracking: Wir und unsere 291 Partner verarbeiten personenbezogene Daten wie beispielsweise Nutzerkennungen, um den Inhalt von GMX.AT zu optimieren und an Ihre Interessen anzupassen und fragen gegebenenfalls aktiv Ihre Geräteeigenschaften zur Identifikation ab. Dafür und für die unten aufgeführten Verarbeitungszwecke benötigen wir und unsere Partner fortan Ihre Zustimmung. Diese umfasst auch Ihre Einwilligung in die Übermittlung bestimmter personenbezogener Daten in Drittländer, insbesondere die USA, nach Art. 49 Abs. 1 lit. a DSGVO. Solange die EU keinen Angemessenheitsbeschluss fasst, gilt grundsätzlich für die Übermittlung von Daten in die USA nicht das gleiche Sicherheitsniveau wie in der EU. Diese Übermittlung birgt daher Risiken, wie beispielsweise, dass die für die Übermittlung getroffenen technischen, organisatorischen und vertraglichen Maßnahmen nicht ausreichen, um zu verhindern, dass Ihre Daten von öffentlichen Stellen zu Kontroll- und Überwachungszwecken verarbeitet werden, möglicherweise auch ohne die Möglichkeit eines Rechtsbehelfs. Unsere Partner können Sie hier einsehen und konfigurieren.

Verarbeitungszwecke

Speichern von oder Zugriff auf Informationen auf einem Endgerät
Personalisierte Werbung und Inhalte, Messung von Werbeleistung und der Performance von Inhalten, Zielgruppenforschung sowie Entwicklung und Verbesserung von Angeboten
*z. B. GMX ProMail mit 5 GB Speicherplatz für E-Mails, 7 GB Cloudspeicher, 50 MB Anhänge verschicken, GMX Magazin als Leistungsbestandteil mit Abbestellmöglichkeit. Der Vertrag wird auf unbestimmte Zeit abgeschlossen. Während des ersten Vertragsmonats (kostenlose Testphase) fallen keine Entgelte an und ist der Vertrag jederzeit kündbar. Nach dem ersten Vertragsmonat ist der Vertrag unter Einhaltung einer Kündigungsfrist von 4 Wochen zum Ablauf des 13. Vertragsmonats und in weiterer Folge jeweils unter Einhaltung einer Kündigungsfrist von 4 Wochen kündbar. Preise inkl. MwSt.


Falls Sie sich jetzt nicht entscheiden möchten, kommen Sie hier zu Ihrem Postfach, dabei wird kein Werbetracking auf unserer Webseite aktiviert. Wir werden Sie beim nächsten Besuch erneut um eine Entscheidung bitten."	12.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality	The user will be asked to reject again in the future; otherwise, payment is required.	consent can be withdrawn through the website			611.36																												We will not be able to control your performance as well as the performance of the GMs. You will not be able to control your performance as well as the performance of the GMs. We will not be able to control your performance as well as the performance of the GMs. You will not be able to control your performance as well as the performance of the GMs. We will not be able to control your performance as well as the performance of the GMs. We will not be able to control your performance as well as the performance of the GMs. We will be able to control your performance as well as the performance of the GMs. We will not be able to control your performance as well as the performance of the GMs. We will not be able to control your performance as well as the performance of the GMs. We will not be able to use the option without the possibility of advertising at any time. We will not be able to revoke
176	187	2024-04-07 21:19:00	1.0	en	2077966615.0	2024-04-07 21:12:34	2024-04-07 21:19:00	2a02:a459:1240:1:118b:282a:8c54:58af	lowes.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						there is no method to withdraw consent	The button to manage cookies on the website does not function.	The privacy policy contains a 'Manage Cookies' button, but it shows a lock icon and does not seem to work.	385.19																												
